Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,PRA,PR,PA,RA,SB
96,4,4/23/2023,playoff,BOS,@,ATL,W (+8),1,42:28:00,12,22,0.545,3,4,0.75,4,5,0.8,1,3,4,3,0,0,2,4,31,20.1,6,38,35,34,7,0
97,5,4/25/2023,playoff,BOS,,ATL,L (-2),1,38:28:00,15,23,0.652,4,7,0.571,1,5,0.2,1,6,7,5,0,0,4,3,35,24.1,1,47,42,40,12,0
98,6,4/27/2023,playoff,BOS,@,ATL,W (+8),1,39:35:00,13,25,0.52,6,8,0.75,0,0,,0,5,5,2,0,1,2,3,32,20.1,7,39,37,34,7,1
99,7,5/1/2023,playoff,BOS,,PHI,L (-4),1,41:38:00,8,10,0.8,3,4,0.75,4,4,1,1,5,6,4,1,0,4,1,23,20.8,-2,33,29,27,10,1
100,8,5/3/2023,playoff,BOS,,PHI,W (+34),1,30:04:00,9,17,0.529,3,6,0.5,4,4,1,0,3,3,4,2,0,1,1,25,21,18,32,28,29,7,2
101,9,5/5/2023,playoff,BOS,@,PHI,W (+12),1,34:01:00,8,18,0.444,0,4,0,7,7,1,2,5,7,5,1,1,4,5,23,15.7,11,35,30,28,12,2
102,10,5/7/2023,playoff,BOS,@,PHI,L (-1),1,44:24:00,10,16,0.625,3,8,0.375,0,2,0,1,2,3,5,0,0,1,3,23,17.6,5,31,26,28,8,0
103,11,5/9/2023,playoff,BOS,,PHI,L (-12),1,34:10:00,9,16,0.563,3,6,0.5,3,8,0.375,0,6,6,2,0,0,3,5,24,12.6,-15,32,30,26,8,0
104,12,5/11/2023,playoff,BOS,@,PHI,W (+9),1,38:56:00,6,13,0.462,1,3,0.333,4,5,0.8,0,6,6,4,0,0,4,4,17,8.9,8,27,23,21,10,0
105,13,5/14/2023,playoff,BOS,,PHI,W (+24),1,40:31:00,9,19,0.474,3,6,0.5,4,4,1,1,5,6,2,2,2,3,1,25,18.9,25,33,31,27,8,4
106,14,5/17/2023,playoff,BOS,,MIA,L (-7),1,38:33:00,10,21,0.476,1,6,0.167,1,2,0.5,1,8,9,5,0,0,6,2,22,10.7,3,36,31,27,14,0
107,15,5/19/2023,playoff,BOS,,MIA,L (-6),1,37:49:00,7,23,0.304,1,7,0.143,1,2,0.5,3,1,4,3,0,0,2,3,16,3.6,-24,23,20,19,7,0
108,16,5/21/2023,playoff,BOS,@,MIA,L (-26),1,27:44:00,6,17,0.353,0,7,0,0,0,,2,4,6,2,0,0,3,3,12,2.3,-25,20,18,14,8,0
109,17,5/23/2023,playoff,BOS,@,MIA,W (+17),1,37:19:00,7,16,0.438,1,5,0.2,2,5,0.4,0,4,4,4,2,0,1,5,17,10.4,9,25,21,21,8,2
